Platform,Route,Major Stops,,,,,,,,,,,
6,96,Malleshwara Circle,Harishchandra Ghat,Navarang Theatre,Shankar Mutt,Havanur Circle,Dhobi Ghat Rajajinagara,Bashyam Circle Rajajinagara,Sujatha Talkies,Okalipura,Kempegowda Bus Station,,
6,89C,Central,Malleshwara Circle,Harishchandra Ghat,Navarang Theatre,Shankar Mutt,Kurubarahalli,Cauvery Nagara,,,,,
6,89D,Central,Malleshwara Circle,Harishchandra Ghat,Navarang Theatre,Shankar Mutt,Kurubarahalli,JC Nagara Kurubarahalli,,,,,
,,,,,,,,,,,,,
7,80,Sujatha Talkies,Bashyam Circle Rajajinagara,ESI Hospital Rajajinagara,Navarang Theatre,Ganesha Temple Mahalakshmi Layout,Mahalakshmi Layout,,,,,,
7,252F,Sujatha Talkies,Bashyam Circle Rajajinagara,ESI Hospital Rajajinagara,Navarang Theatre,Ganesha Temple Mahalakshmi Layout,Mahalakshmi Layout,Kanteerava Studio,Laggere Cross,TVS Cross Peenya,NTTF Peenya,Peenya 2nd Stage,
7,252H,Sujatha Talkies,Bashyam Circle Rajajinagara,ESI Hospital Rajajinagara,Navarang Theatre,Ganesha Temple Mahalakshmi Layout,Mahalakshmi Layout,Kanteerava Studio,Laggere Cross,Parvathi Nagara,Laggere New Bus Stand,,
7,80A,Sujatha Talkies,Bashyam Circle Rajajinagara,ESI Hospital Rajajinagara,Navarang Theatre,Ganesha Temple Mahalakshmi Layout,Nandini Layout Bus Stand,,,,,,
7,80B,Sujatha Talkies,Bashyam Circle Rajajinagara,ESI Hospital Rajajinagara,Navarang Theatre,Ganesha Temple Mahalakshmi Layout,Nandini Layout Bus Stand,Jai Maruthi Nagara,,,,,
7,80E,Sujatha Talkies,Bashyam Circle Rajajinagara,ESI Hospital Rajajinagara,Navarang Theatre,Ganesha Temple Mahalakshmi Layout,2nd Stage Kanteeravanagara,,,,,,
7,80F,Sujatha Talkies,Bashyam Circle Rajajinagara,ESI Hospital Rajajinagara,Navarang Theatre,Ganesha Temple Mahalakshmi Layout,Mahalakshmi Layout,Kanteerava Studio,SSVB Bakery Kanteerava Studio,Jai Bhuvaneshwari Nagara,,,
7,80G,Sujatha Talkies,Bashyam Circle Rajajinagara,ESI Hospital Rajajinagara,Navarang Theatre,Ganesha Temple Mahalakshmi Layout,Mahalakshmi Layout,Kanteerava Studio,Nandini Layout Ring Road,Laggere Bridge,Summanahalli,,
7,80R,Sujatha Talkies,Bashyam Circle Rajajinagara,ESI Hospital Rajajinagara,Navarang Theatre,Ganesha Temple Mahalakshmi Layout,Nandini Layout Bus Stand,Ramakrishna Nagara,Rajkumar Punya Bhoomi,,,,
,,,,,,,,,,,,,
8,43B,Corporation,KR Market,Chamarajapet,Ramakrishna Ashrama,Hanumanthanagara,Bank Colony,Hoskerehalli Cross,Hosakerehalli Petrol Bunk,Hoskerehalli,,,
8,43E,Corporation,KR Market,Chamarajapet,Ramakrishna Ashrama,Hanumanthanagara,Bank Colony,Hoskerehalli Cross,Shri Vidhyanagara,,,,
8,45B,Corporation,KR Market,Chamarajapet,Ramakrishna Ashrama,Hanumanthanagara,Bank Colony,Hoskerehalli Cross,Kathriguppe Water Tank,Kathriguppe,Bhuvaneshwari Nagara,,
8,45D,Corporation,KR Market,Chamarajapet,Ramakrishna Ashrama,Hanumanthanagara,Bank Colony,Hoskerehalli Cross,Janatha Bazaar,Ittamadu,AGS Layout Arehalli,,
8,45F,Corporation,KR Market,Chamarajapet,Ramakrishna Ashrama,Hanumanthanagara,Bank Colony,Hoskerehalli Cross,Janatha Bazaar,Kathriguppe,Kamakya Talkies,Channammanakere Achukattu,
8,45G,Super Talkies,Rayan Circle,Chamarajapet,Ramakrishna Ashrama,Hanumanthanagara,Bank Colony,Hoskerehalli Cross,Kathriguppe,Kamakya Talkies,Channammanakere Achukattu,,
,,,,,,,,,,,,,
9,210N,Corporation,KR Market,Chamarajapet,Ramakrishna Ashrama,Basavanagudi Police Station,Thyagaraja Nagara,Devegowda Petrol Bunk,Prarthana School,Chikkallasandra Aralimara,Uttarahalli,,
9,210NG,Super Talkies,Rayan Circle,Chamarajapet,Ramakrishna Ashrama,Basavanagudi Police Station,Thyagaraja Nagara,Devegowda Petrol Bunk,Prarthana School,Chikkallasandra Aralimara,Uttarahalli,,
9,210NP,Corporation,KR Market,Chamarajapet,Ramakrishna Ashrama,Basavanagudi Police Station,Thyagaraja Nagara,Devegowda Petrol Bunk,Prarthana School,Chikkallasandra Aralimara,Uttarahalli,Poornaprajnalayout NEW Bus Stand,
9,210P,Corporation,KR Market,Chamarajapet,Ramakrishna Ashrama,Basavanagudi Police Station,Thyagaraja Nagara,Devegowda Petrol Bunk,Prarthana School,Chikkallasandra Aralimara,Chikkallasandra,,
,,,,,,,,,,,,,
10,36A,Corporation,KR Market,Chamarajapet,Ramakrishna Ashrama,Hanumanthanagara,Nirmala Store,Apex Bank,Girinagara,Avalahalli BDA Park Girinagara,,,
10,36B,Corporation,KR Market,Chamarajapet,Ramakrishna Ashrama,Hanumanthanagara,Nirmala Store,Apex Bank,Girinagara,Girinagara Extension,,,
10,36C,Corporation,KR Market,Chamarajapet,Ramakrishna Ashrama,Hanumanthanagara,Nirmala Store,Apex Bank,Srinagara,,,,
,,,,,,,,,,,,,
11,215H,Corporation,Lalbagh Main Gate,Lalbagh West Gate,South End Circle,Jayanagara Bus Station,5th Block Jayanagara,Puttenahalli,RBI Layout,Kothanuru Dinne Ganesha Temple,Jambu Savari Dinne,,
,,,,,,,,,,,,,
13,2,Corporation,Lalbagh Main Gate,Lalbagh West Gate,Ashoka Pillar,Jayanagara 4th Block,Jayanagara 5th Block,Marenahalli,JP Nagara 1st Phase,JP Nagara 2nd Phase,JP Nagara 6th Phase,,
13,18,Corporation,Lalbagh Main Gate,Lalbagh West Gate,Ashoka Pillar,Jayanagara 4th Block,9th Block Jayanagara (40th Cross),,,,,,
13,22,Corporation,Lalbagh Main Gate,Lalbagh West Gate,Ashoka Pillar,Jayanagara 4th Block,Byrasandra New Bus Stand,,,,,,
13,"25A, V-25A",Corporation,Lalbagh Main Gate,Lalbagh West Gate,Ashoka Pillar,Jayanagara 4th Block,Carmel Convent Jayanagara,East End Jayanagara,BTM Layout Water Tank,Kuvempunagara Bus station (BTM Layout,,,
13,25B,Corporation,Lalbagh Main Gate,Lalbagh West Gate,Ashoka Pillar,Jayanagara 4th Block,Carmel Convent Jayanagara,East End Jayanagara,BTM Layout Water Tank,Anugraha Badavane (Bilekahalli),,,
13,25BA,Corporation,Lalbagh Main Gate,Lalbagh West Gate,Ashoka Pillar,Jayanagara 4th Block,Carmel Convent Jayanagara,East End Jayanagara,BTM Layout Water Tank,Anugraha Badavane (Bilekahalli),,,
13,364C,Corporation,Lalbagh Main Gate,Lalbagh West Gate,Ashoka Pillar,Jayanagara 4th Block,Carmel Convent Jayanagara,East End Jayanagara,JP Nagara 3rd Phase,Apollo Hospital,Vijaya Bank Layout Devarachikkanahalli,BTM Layout 4 Phase,
,,,,,,,,,,,,,
