61J,Kempegowda Bus Station,Okalipura,Sujatha Talkies,Gopalapura,6th Block Rajajinagara,Prasanna Theatre,Magadi Road TollGate,Manuvana,Vijayanagara Vijaya Bank,Vijayanagara,Maruthi Mandira,Vijayanagara Bus Station,Income Tax Layout,Chandra Public School,Ganesha Temple Chandra Layout,Chandra Layout Circle,Chandra Layout 1st Stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80F,Kempegowda Bus Station,Okalipura,Sujatha Talkies,Rajajinagara Entrance,Bashyam Circle Rajajinagara,Rajajinagara Old Police Station,ESI Hospital Rajajinagara,Basaveshwara College,Rajajinagara 2nd Block,Navarang Theatre,Canara Bank Rajajinagara 1st Block,Diacon Hospital,Mahalakshmi Layout Entrance,Shrinivasa Temple,Ganesha Temple Mahalakshmi Layout,Mahalakshmi Layout,Shankara Nagara,Krishnananda Nagara,Kanteerava Studio,Ramakrishna Nagara,SSVB Bakery Kanteerava Studio,Jai Bhuvaneshwari Nagara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80G,Kempegowda Bus Station,Okalipura,Sujatha Talkies,Rajajinagara Entrance,Bashyam Circle Rajajinagara,Rajajinagara Old Police Station,ESI Hospital Rajajinagara,Basaveshwara College,Navarang Theatre,Canara Bank Rajajinagara 1st Block,Diacon Hospital,Mahalakshmi Layout Entrance,Shrinivasa Temple,Ganesha Temple Mahalaskhmi Layout,Mahalakshmi Layout,Shankara Nagara,Krishnananda Nagara,Kanteerava Studio,Kanteerava Studio,Rajkumar Punya Bhoomi,Nandhini Layout,Nandini Layout Ring Road,Laggere Bridge,Kempegowda Arch,Lurdubayi Samudaya Bhavana,Depot-31 Gate,Summanahalli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80R,Kempegowda Bus Station,Okalipura,Sujatha Talkies,Rajajinagara Entrance,Bashyam Circle Rajajinagara,Rajajinagara Old Police Station,ESI Hospital Rajajinagara,Basaveshwara College,Rajajinagara 2nd Block,Navarang Theatre,Canara Bank Rajajinagara 1st Block,Diacon Hospital,Mahalakshmi Layout Entrance,Shrinivasa Temple,Ganesha Temple Mahalaskhmi Layout,Saraswathipuram,Nandini Layout Bus Stand,SSVB Bakery Kanteerava Studio,Ramakrishna Nagara,Rajkumar Punya Bhoomi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43B,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,Town Hall,KR Market,Makkala Koota,Chamarajapet,Bengaluru High School,Ramakrishna Ashrama,Hanumanthanagara Ward Office,Subramanya Swamy Temple,Nirmala Store,Srinivasa Nagara,Bank Colony,Seetha Circle,Hoskerehalli Cross,Nanjundeshwara Stores,Hosakerehalli Petrol Bunk,Hoskerehalli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43E,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,Town Hall,KR Market,Makkala Koota,Chamarajapet,Bengaluru High School,Ramakrishna Ashrama,Hanumanthanagara Ward Office,Subramanya Swamy Temple,Nirmala Store,Srinivasa Nagara,Bank Colony,Seetha Circle,Hoskerehalli Cross,Nanjundeshwara Stores,Shri Vidhyanagara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45B,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,Town Hall,KR Market,Makkala Koota,Chamarajapet,Bengaluru High School,Ramakrishna Ashrama,Hanumanthanagara Ward Office,Subramanya Swamy Temple,Nirmala Store,Srinivasa Nagara,Bank Colony,Seetha Circle,Hoskerehalli Cross,Water Tank,Kathriguppe,Bhuvaneshwari Nagara,Bhuvaneshwari Nagara Mahalakshmi Temple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45D,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,Town Hall,KR Market,Makkala Koota,Chamarajapet,Bengaluru High School,Ramakrishna Ashrama,Hanumanthanagara Ward Office,Subramanya Swamy Temple,Nirmala Store,Srinivasa Nagara,Bank Colony,Seetha Circle,Hoskerehalli Cross,Hosakerehalli  Junction,Ittamadu Cross,Srinivasa Kalyana Mantapa,SLV Bakery,Ittamadu,AGS Layout Cross,AGS Layout Arehalli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45F,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,Town Hall,KR Market,Makkala Koota,Chamarajapet,Bengaluru High School,Ramakrishna Ashrama,Hanumanthanagara Ward Office,Subramanya Swamy Temple,Nirmala Store,Srinivasa Nagara,Bank Colony,Seetha Circle,Hoskerehalli Cross,Hosakerehalli  Junction,Janatha Bazar  Banashankari,Kathriguppe,Kamakya Talkies,Srikanteshwara Park,Channammanakere Achukattu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45G,Kempegowda Bus Station,Super Talkies (Cottonpet Hospital),Rayan Circle,Chamarajapet,Bengaluru High School,Ramakrishna Ashrama,Hanumanthanagara Ward Office,Subramanya Swamy Temple,Nirmala Store,Srinivasa Nagara,Bank Colony,Seetha Circle,Hoskerehalli Cross,Hosakerehalli  Junction,Janatha Bazar  Banashankari,Kathriguppe,Kamakya Talkies,Srikanteshwara Park,Channammanakere Achukattu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210N,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,Town Hall,KR Market,Makkala Koota,Chamarajapet,Bengaluru High School,Ramakrishna Ashrama,North Road,Basavanagudi Police Station,Nettakallappa Circle,NR Colony,Thyagaraja Nagara KEB Quarters,Thyagaraja Nagara,Indira Nursing Home,KIMS College,Devegowda Petrol Bunk,Devegowda Hospital,Padmanabha Nagara,Prarthana School,Gowdanapalya,Chikkallasandra Aralimara,Chikkallasandra Bank Colony,KR Hospital Uttarahalli,Uttarahalli Bus Stand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210NG,Kempegowda Bus Station,Super Talkies (Cottonpet Hospital),Rayan Circle,Chamarajapet,Bengaluru High School,Ramakrishna Ashrama,North Road,Basavanagudi Police Station,Nettakallappa Circle,NR Colony,Thyagaraja Nagara KEB Quarters,Thyagaraja Nagara,Indira Nursing Home,KIMS College,Devegowda Petrol Bunk,Padmanabha Nagara,Prarthana School,Gowdanapalya,Chikkallasandra Aralimara,Chikkallasandra Bank Colony,KR Hospital Uttarahalli,Uttarahalli Bus Stand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210NP,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,Town Hall,KR Market,Basappa Circle,Makkala Koota,Chamarajapet,Bengaluru High School,Ramakrishna Ashrama,North Road,Basavanagudi Police Station,Nettakallappa Circle,NR Colony,Thyagaraja Nagara KEB Quarters,Thyagaraja Nagara,Indira Nursing Home,KIMS College,Devegowda Petrol Bunk,Padmanabha Nagara,Prarthana School,Gowdanapalya,Chikkallasandra Aralimara,Chikkallasandra Bank Colony,KR Hospital Uttarahalli,Uttarahalli,Arehalli,Poornaprajnalayout NEW Bus Stand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210P,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,Town Hall,KR Market,Makkala Koota,Chamarajapet,Bengaluru High School,Ramakrishna Ashrama,North Road,Basavanagudi Police Station,Nettakallappa Circle,NR Colony,Thyagaraja Nagara KEB Quarters,Thyagaraja Nagara,Indira Nursing Home,KIMS College,Devegowda Petrol Bunk,Padmanabha Nagara,Prarthana School,Gowdanapalya,Chikkallasandra Aralimara,Chikkallasandra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36A,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,Town Hall,KR Market,Basappa Circle,Makkala Koota,Chamarajapet,Bengaluru High School,Ramakrishna Ashrama,Hanumanthanagara Ward Office,Subramanya Swamy Temple,Nirmala Store,Apex Bank,Nagendra Block,Banashankari 1st Stage Muneshwara Block KEB,Muneshwara Block,Girinagara,Avalahalli BDA Park Girinagara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36B,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,Town Hall,KR Market,Makkala Koota,Chamarajapet,Bengaluru High School,Ramakrishna Ashrama,Hanumanthanagara Ward Office,Subramanya Swamy Temple,Nirmala Store,Apex Bank,Nagendra Block,Banashankari 1st Stage Muneshwara Block KEB,Muneshwara Block,Girinagara,Girinagara 2nd Stage,Girinagara Extension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36C,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,Town Hall,KR Market,Makkala Koota,Chamarajapet,Bengaluru High School,Ramakrishna Ashrama,Hanumanthanagara Ward Office,Subramanya Swamy Temple,Nirmala Store,Apex Bank,Srinagara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215H,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,Jai Bheem Circle (Poornima Theatre),Lalbagh Main Gate,Lalbagh West Gate (Lalbagh Metro Station),R V Teachers College,Vijaya College,South End Circle,Nanda Talkies,Jayanagara Bus Station,Jayanagara Telephone Exchange,Jayanagara  38th Cross,5th Block Jayanagara,Marenahalli,R V Dental College,JP Nagara 15th Cross,Nandini Hotel JP Nagara,Inchara Hotel JP Nagar,Auto Gas/Royal School,Shobha Tulip JP Nagara,Nayara Petrol Pump Lakshmi Layout,Brigade Millenium,RBI Layout,Gowrava Nagara,Navodaya Nagara,Kothanuru Dinne Ganesha Temple,Water Tank Kothanur Dinne,BK Circle,Surabhi Layout,Jambu Savari Dinne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,Jai Bheem Circle (Poornima Theatre),Lalbagh Main Gate,Lalbagh West Gate (Lalbagh Metro Station),R V Teachers College,Ashoka Pillar,Rani Saraladevi High School,3rd Block Jayanagara,Jayanagara 4th Block,Jayanagara Church,18th Main Jayanagara,4th T Block Jayanagara,9th Block Jayanagara (40th Cross),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,Jai Bheem Circle (Poornima Theatre),Lalbagh Main Gate,Lalbagh West Gate (Lalbagh Metro Station),R V Teachers College,Ashoka Pillar,Rani Saraladevi High School,3rd Block Jayanagara,Jayanagara 4th Block,Byrasandra New Bus Stand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25A,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,Jai Bheem Circle (Poornima Theatre),Lalbagh Main Gate,Lalbagh West Gate (Lalbagh Metro Station),R V Teachers College,Ashoka Pillar,Rani Saraladevi High School,3rd Block Jayanagara,Jayanagara 4th Block,Sanjay Gandhi Hospital,Carmel Convent Jayanagara,Jayanagara Pump House,East End Jayanagara,MICO Layout BTM,BTM Layout Water Tank,BTM Layout 16th Main,Kuvempunagara Bus station (BTM Layout),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V-25A,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,Jai Bheem Circle (Poornima Theatre),Lalbagh Main Gate,Lalbagh West Gate (Lalbagh Metro Station),R V Teachers College,Ashoka Pillar,Rani Saraladevi High School,3rd Block Jayanagara,Jayanagara 4th Block,Sanjay Gandhi Hospital,Carmel Convent Jayanagara,Jayanagara Pump House,East End Jayanagara,MICO Layout BTM,BTM Layout Water Tank,BTM Layout 16th Main,Kuvempunagara Bus station (BTM Layout),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25B,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,Jai Bheem Circle (Poornima Theatre),Lalbagh Main Gate,Lalbagh West Gate (Lalbagh Metro Station),R V Teachers College,Ashoka Pillar,Rani Saraladevi High School,3rd Block Jayanagara,Jayanagara 4th Block,Jayanagara Church,Sanjay Gandhi Hospital,Carmel Convent Jayanagara,Jayanagara Pump House,East End Jayanagara,MICO Layout BTM,BTM Layout Water Tank,BTM Layout 16th Main Road,12th Main 7th Cross BTM Layout,Mahadeshwara Nagara,Anugraha Badavane (Bilekahalli),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25BA,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,Jai Bheem Circle (Poornima Theatre),Lalbagh Main Gate,Lalbagh West Gate (Lalbagh Metro Station),R V Teachers College,Ashoka Pillar,Rani Saraladevi High School,3rd Block Jayanagara,Jayanagara 4th Block,Jayanagara Church,Sanjay Gandhi Hospital,Carmel Convent Jayanagara,Jayanagara Pump House,East End Jayanagara,MICO Layout BTM,BTM Layout Water Tank,BTM Layout 16th Main Road,12th Main 7th Cross BTM Layout,Mahadeshwara Nagara,Anugraha Badavane (Bilekahalli),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364C,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,Jai Bheem Circle (Poornima Theatre),Lalbagh Main Gate,Lalbagh West Gate (Lalbagh Metro Station),R V Teachers College,Vijaya College,Madhavan Park,3rd Block Jayanagara,Jayanagara 4th Block,Sanjay Gandhi Hospital,Carmel Convent Jayanagara,Jayanagara Pump House,East End Jayanagara,MICO Layout Checkpost Gopalan mall,JP Nagara 3rd Phase,Bilekahalli,Apollo Hospital,HSBC,Vijaya Bank Colony Ayyappa Temple,Vijaya Bank Layout Devarachikkanahalli,Vijaya Bank Layout Petrol Bunk,BTM Layout 4 Phase (ELC RTO Office),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,Subbaiah Circle,KH Road,Shanthinagara Bus Station,Wilson Garden Police Station,Wilson Garden 12th Cross,Lakkasandra,Nimhans Hospital,Bengaluru Dairy Circle,Chandrappanagara,MICO Factory Junction,MICO Gate Adugodi,Adugodi,Adugodi Police Station,Forum Mall,Jyothi Nivas College,Kalyana Mantapa Koramangala,Koramangala Police Station,Koramangala Bus Station,Sony World 100ft Road  Koramangala,Canara Bank Koramangala,BDA Complex Koramangala,Koramangala Water Tank,Kudure Mukha Colony,St francis College,Koramangala 1st Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171G,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,Subbaiah Circle,KH Road,Shanthinagara Bus Station,Wilson Garden Police Station,Wilson Garden 12th Cross,Lakkasandra,Nimhans Hospital,Bengaluru Dairy Circle,Chandrappanagara,MICO Factory Junction,MICO Gate Adugodi,Adugodi,Adugodi Police Station,Forum Mall,Jyothi Nivas College,Kalyana Mantapa Koramangala,Koramangala Police Station,Koramangala Bus Station,Sony World 80ft Road Koramangala,Maharaja Signal,Wipro Park Koramangala,Koramangala 1st Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340A,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,Subbaiah Circle,KH Road,Shanthinagara Bus Station,Wilson Garden Police Station,Wilson Garden 12th Cross,Lakkasandra,Nimhans Hospital,Bengaluru Dairy Circle,Muneshwara Devasthana,Hosur Road Junction,St Johns Hospital,Koramangala Water Tank,Kudure Mukha Colony,St francis College,Koramangala 1st Block,Jakkasandra,Agara Junction,HSR Layout Petrol Bunk,19th Main 13th Cross HSR Layout,CPWD Quarters HSR Layout,NIFT College,Parangipalya Cross,HSR Layout KEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-F,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,Subbaiah Circle,KH Road,Shanthinagara Bus Station,Wilson Garden Police Station,Wilson Garden 12th Cross,Lakkasandra,Nimhans Hospital,Bengaluru Dairy Circle,Muneshwara Devasthana,Hosur Road Junction,St Johns Hospital,Koramangala Water Tank,Kudure Mukha Colony,St francis College,Koramangala 1st Block,Jakkasandra,Agara Junction,Ibbaluru,Bellanduru Gate SJP Road,Kaikondrahalli,Junnasandra Gate Wipro Regional Office,Radhareddy Layout,Doddakannalli,Carmelram Gate,Ambedkar Nagara,Sarjapura Wipro Campus,Kodathi Gate,Sulikunte,Muttanalluru Cross,Dommasandra Circle,Dommasandra,Thigalara Chowdenahalli Cross,Chambenahalli,Yamare,Crystal Apartment Sarjapura Road,Sompura Gate,Sarjapura Circle,Sarjapura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V-342F,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,Subbaiah Circle,KH Road,Shanthinagara Bus Station,Wilson Garden Police Station,Wilson Garden 12th Cross,Lakkasandra,Nimhans Hospital,Bengaluru Dairy Circle,Muneshwara Devasthana,Hosur Road Junction,St Johns Hospital,Koramangala Water Tank,Kudure Mukha Colony,St francis College,Koramangala 1st Block,Jakkasandra,Agara Junction,Ibbaluru,Bellanduru Gate SJP Road,Kaikondrahalli,Junnasandra Gate Wipro Regional Office,Radhareddy Layout,Doddakannalli,Carmelram Gate,Ambedkar Nagara,Sarjapura Wipro Campus,Kodathi Gate,Sulikunte,Muttanalluru Cross,Dommasandra Circle,Dommasandra,Thigalara Chowdenahalli Cross,Chambenahalli,Yamare,Crystal Apartment Sarjapura Road,Sompura Gate,Sarjapura Circle,Sarjapura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V-342FD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356M,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,Jai Bheem Circle (Poornima Theatre),Lalbagh Main Gate,Lalbagh Hopcoms,7th Cross Wilson Garden,Lakkasandra,Nimhans Hospital,Bengaluru Dairy Circle,Muneshwara Devasthana,Hosur Road Junction,St Johns Hospital,Koramangala Water Tank,Kudure Mukha Colony,Krupanidhi College,Madivala,Roopena Agrahara,Bommanahalli,Garvebhavipalya,Kudlu Gate,Singasandra,Hosa Road,Electronic City PESIT College,Konappana Agarhara,Electronic City,Veerasandra,Huskur Gate,SFS High School Hebbagodi,Hebbagodi,Bommasandra,BTL College,Hennagara Gate,Chandapura,Chandapura KEB,Suryacity Gate,Surya Nagara,Iggluru,Ramakrishnapura Gate,Marasur Gate,RK Farm,VBHC Apartment Gate,Byagadadenahalli Gate,Avadadenahalli Gate,Karpura Gate,Chikka Hagade Gate,Kavala Hosahalli,Anekal Circle,Chowdareddy Circle,Anekal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V-356M,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,Jai Bheem Circle (Poornima Theatre),Lalbagh Main Gate,Lalbagh Hopcoms,7th Cross Wilson Garden,Lakkasandra,Nimhans Hospital,Bengaluru Dairy Circle,Muneshwara Devasthana,Hosur Road Junction,St Johns Hospital,Koramangala Water Tank,Kudure Mukha Colony,Krupanidhi College,Madivala,Roopena Agrahara,Bommanahalli,Garvebhavipalya,Kudlu Gate,Singasandra,Hosa Road,Electronic City PESIT College,Konappana Agarhara,Electronic City,Veerasandra,Huskur Gate,SFS High School Hebbagodi,Hebbagodi,Bommasandra,BTL College,Hennagara Gate,Chandapura,Chandapura KEB,Suryacity Gate,Surya Nagara,Iggluru,Ramakrishnapura Gate,Marasur Gate,RK Farm,VBHC Apartment Gate,Byagadadenahalli Gate,Avadadenahalli Gate,Karpura Gate,Chikka Hagade Gate,Kavala Hosahalli,Anekal Circle,Chowdareddy Circle,Anekal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KBS3F,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,Subbaiah Circle,KH Road,Shanthinagara Bus Station,Wilson Garden Police Station,Wilson Garden 12th Cross,Lakkasandra,Nimhans Hospital,Bengaluru Dairy Circle,Muneshwara Devasthana,Hosur Road Junction,St Johns Hospital,Koramangala Water Tank,Kudure Mukha Colony,Krupanidhi College,Madivala,Roopena Agrahara FLY,Roopena Agrahara Toll,Bommanahalli Fly Over,Kudlu Gate Flyover,Singasandra FLY,Hosa Road FLY,Konappana Agarhara Flyover,Electronic City FLY,Veerasandra,Huskur Gate,SFS High School Hebbagodi,Hebbagodi,Bommasandra,BTL College,Hennagara Gate,Chandapura,Hale Chandapura,Tirumagondanahalli,Neraluru Gate,Guddahatti Gate,Guestline Hotel,Yadavanahalli,Attibele Bus Stand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP-KBS3A,Kempegowda Bus Station,Corporation,Shanthinagara Bus Station,Lakkasandra,St Johns Hospital,Madivala,Roopena Agrahara,Roopena Agrahara Toll,Electronic City FLY,Hebbagodi,Chandapura,Attibele Bus Stand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,Subbaiah Circle,KH Road,Shanthinagara Bus Station,Wilson Garden Police Station,Wilson Garden 12th Cross,Lakkasandra,Nimhans Hospital,Bengaluru Dairy Circle,Ananda Ashrama (BGT Rd),Jalabhavan,Gurappanapalya,MICO Layout Checkpost Gopalan mall,JP Nagara 3rd Phase,Bilekahalli,Apollo Hospital,HSBC,Arakere Gate,BPL,Hulimavu Gate,Meenakshi Temple,Loyola School,Kalena Agrahara,Himagiri,Gottigere,T John College,Basavanapura Gate,Koli Farm Gate,Kalkere,AMC College,Sampangiram Nagara,Rayan International School,Vijaya Bank Bannerughatta,Bannerughatta Circle,Prabasnagara,Sampigehalli Bannerughatta,Bannerughatta National Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365D,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,Subbaiah Circle,KH Road,Shanthinagara Bus Station,Wilson Garden Police Station,Wilson Garden 12th Cross,Lakkasandra,Nimhans Hospital,Bengaluru Dairy Circle,Ananda Ashrama (BGT Rd),Jalabhavan,Gurappanapalya,MICO Layout Checkpost Gopalan mall,JP Nagara 3rd Phase,Bilekahalli,Apollo Hospital,HSBC,Arakere Gate,BPL,Hulimavu Gate,Meenakshi Temple,Loyola School,Kalena Agrahara,Himagiri,Gottigere,T John College,Basavanapura Gate,Koli Farm Gate,Weavers Colony,Maruthi Badavane,Bilavaradahalli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365J,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,Subbaiah Circle,KH Road,Shanthinagara Bus Station,Wilson Garden Police Station,Wilson Garden 12th Cross,Lakkasandra,Nimhans Hospital,Bengaluru Dairy Circle,Ananda Ashrama (BGT Rd),Jalabhavan,Gurappanapalya,MICO Layout Checkpost Gopalan mall,JP Nagara 3rd Phase,Bilekahalli,Apollo Hospital,HSBC,Arakere Gate,BPL,Hulimavu Gate,Meenakshi Temple,Loyola School,Kalena Agrahara,Himagiri,Gottigere,T John College,Basavanapura Gate,Koli Farm Gate,Kalkere,AMC College,Sampangiram Nagara,Rayan International School,Vijaya Bank Bannerughatta,Bannerughatta Circle,Sarala Birla Academy,Junglepalya Gate,Mantapa Cross,Ragihalli Gate,Begihalli,Koppa Gate,Harapanahalli,Jigani Double Road,Jigani Tent,Jigani Bus Stand,Jigani APC Circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365P,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,Jai Bheem Circle (Poornima Theatre),Lalbagh Main Gate,Lalbagh Hopcoms,7th Cross Wilson Garden,Lakkasandra,Nimhans Hospital,Bengaluru Dairy Circle,Ananda Ashrama (BGT Rd),Jalabhavan,Gurappanapalya,MICO Layout Checkpost Gopalan mall,JP Nagara 3rd Phase,Bilekahalli,Apollo Hospital,HSBC,Arakere Gate,BPL,Hulimavu Gate,Meenakshi Temple,Loyola School,Kalena Agrahara,Himagiri,Gottigere,T John College,Basavanapura Gate,Koli Farm Gate,Kalkere,AMC College,Sampangiram Nagara,Rayan International School,Vijaya Bank Bannerughatta,Bannerughatta Circle,Sarala Birla Academy,Junglepalya Gate,Mantapa Cross,Ragihalli Gate,Begihalli,Koppa Gate,Harapanahalli,Jigani Double Road,Jigani Tent,Jigani Bus Stand,Jigani APC Circle,Jigani KEB,Madapatna,Haragadde,Haragadde Cross,Nayanahalli Cross,Kumbaranahalli,Suragajakkanahalli,Indlavadi Cross,Honnakalasapura Cross,Gowrenahalli,Muthyalamadu Cross,Shanimahathma Temple,Anekal Circle,Chowdareddy Circle,Anekal,,,,,,,,,,,,,,,,,,,,
369C,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,Subbaiah Circle,KH Road,Shanthinagara Bus Station,Wilson Garden Police Station,Wilson Garden 12th Cross,Lakkasandra,Nimhans Hospital,Bengaluru Dairy Circle,Ananda Ashrama (BGT Rd),Jalabhavan,Gurappanapalya,MICO Layout Checkpost Gopalan mall,JP Nagara 3rd Phase,Bilekahalli,Apollo Hospital,HSBC,Arakere Gate,BPL,Hulimavu Gate,Royal Meenakshi Mall BG Road,Hulimavu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
