61J,Kempegowda Bus Station,Okalipura,Sujatha Talkies,Gopalapura,6th Block Rajajinagara,Prasanna Theatre,Magadi Road TollGate,Manuvana,Vijayanagara Vijaya Bank,Vijayanagara,Maruthi Mandira,Vijayanagara Bus Station,Income Tax Layout,Chandra Public School,Ganesha Temple Chandra Layout,Chandra Layout Circle,Chandra Layout 1st Stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237C,Shivajinagara Bus Station,Indian Express,Vidhana Soudha Karnataka High Court,MS Building,Maharani College,Cauvery Bhavana,Kempegowda Bus Station,Okalipura,Minerva Mill,1st Cross Magadi Road,5th Cross Magadi Road,10th Cross Magadi Road,Magadi Road Metro Station,Prasanna Theatre,Magadi Road TollGate,Manuvana,Vijayanagara Vijaya Bank,Vijayanagara,Govindarajanagara,Prashanth Nagara,Pattegarpalya Circle,Srinivasa Nagara PattegarPalya,Ramkrishana Layout,Malagala 1,BDA Park Bande Maramma Temple,Bande Maramma Bus Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238UM,Kempegowda Bus Station,Okalipura,Minerva Mill,1st Cross Magadi Road,5th Cross Magadi Road,10th Cross Magadi Road,Magadi Road Metro Station,Prasanna Theatre,Magadi Road TollGate,Manuvana,Vijayanagara Vijaya Bank,Vijayanagara,Govindarajanagara,Prashanth Nagara,Saraswathi Nagara,Priyadarshini Layout,Moodalapalya,Kalyananagara,Byraveshwaranagara,Maruthi Nagara,Nagarabhavi Circle,Manasa Nagara,NGEF Layout Nagarabhavi,Vinayaka Layout Nagarabhavi,Kengunte Circle,Ambedkar Institute of Technology,Deepa Complex,ITI Layout,Nagarabhavi Vishweshwaraiah Sports Club,Annapoorneshwari nagara Cross,Muddinapalya Junction,KLE Society College Cross,KLE Society College,Upkar Layout Cross,Ullala Satellite Town Cross,Ullala Satelite Town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235K,Kempegowda Bus Station,Okalipura,Minerva Mill,1st Cross Magadi Road,5th Cross Magadi Road,10th Cross Magadi Road,Magadi Road Metro Station,Prasanna Theatre,Magadi Road TollGate,Manuvana,Vijayanagara Vijaya Bank,Deepanjalinagara,Vijayanagara,Govindarajanagara,Prashanth Nagara,Saraswathi Nagara,Priyadarshini Layout,Moodalapalya,Kalyananagara,Byraveshwaranagara,Maruthi Nagara,Nagarabhavi Circle,Manasa Nagara,12th Block Nagarabhavi,NGEF Layout Nagarabhavi,Vinayaka Layout Nagarabhavi,Kengunte Circle,Mallathahalli Cross,Bengaluru University Quarters,PVP School,Mariyappanapalya,Kenchanapura Cross,Bhuvaneshwari Nagara 1st Stage,Bhuvaneshwari Nagara 2nd Stage,Sonnenahalli Bridge,Sonnenahalli,Shivaji Hotel,Chikka Basti Masjid,Dodda Basti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234C,Kempegowda Bus Station,Okalipura,Sujatha Talkies,Gopalapura,6th Block Rajajinagara,Prasanna Theatre,Magadi Road TollGate,Manuvana,Vijayanagara Vijaya Bank,Vijayanagara,Govindarajanagara,Prashanth Nagara,Saraswathi Nagara,Priyadarshini Layout,Moodalapalya,Kalyananagara,Byraveshwaranagara,Maruthi Nagara,Nagarabhavi Circle,Manasa Nagara,12th Block Nagarabhavi,NGEF Layout Nagarabhavi,Vinayaka Layout Nagarabhavi,Kengunte Circle,Mallathahalli Cross,BUC Quarters,Muneshwara Layout,Press Layout,Amma Ashrama Cross,Vidyaniketan Public School,Manganahalli Cross,AGS Layout,Manganahalli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241G,KR Market (Kalasipalya),Rayan Circle,Water Tank Chamarajapet,Chamarajapet,Sirsi Circle,CR Police Ground,Binnypet,Binny Mill,Hunasemara,1st Cross Magadi Road,5th Cross Magadi Road,10th Cross Magadi Road,Magadi Road Metro Station,Prasanna Theatre,Magadi Road Tollgate,Agrahara Dasarahalli,KHB Colony,Kamakshipalya,Summanahalli,Kottigepalya,Lakshmi Institution,Sunkadakatte,Janapriya Apartment,Herohalli Cross,Anjananagara,East West College Cross,Byadarahalli,College Cross Byadarahalli,Gollarahatti,Kachohalli Gate,Chikka Gollarahatti,Forest Gate,Machohalli Gate,Kadabagere Cross,Seegehalli Gate,Depot-35 Gate,Seegehalli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245GA,Kempegowda Bus Station,Okalipura,Minerva Mill,1st Cross Magadi Road,5th Cross Magadi Road,10th Cross Magadi Road,Magadi Road Metro Station,Prasanna Theatre,Magadi Road Tollgate,Agrahara Dasarahalli,KHB Colony,Kamakshipalya,Summanahalli,Kottigepalya,Lakshmi Institution,Sunkadakatte,Janapriya Apartment,Herohalli Cross,Anjananagara,East West College Cross,Byadarahalli,College Cross Byadarahalli,Gollarahatti,Kachohalli Gate,Chikka Gollarahatti,Forest Gate,Machohalli Gate,Kadabagere Cross,Mutturayanaswamy Temple,Raghavendra Layout,Kadabagere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245M,Kempegowda Bus Station,Okalipura,Minerva Mill,1st Cross Magadi Road,5th Cross Magadi Road,10th Cross Magadi Road,Magadi Road Metro Station,Prasanna Theatre,Magadi Road Tollgate,Agrahara Dasarahalli,KHB Colony,Kamakshipalya,Summanahalli,Kottigepalya,Lakshmi Institution,Sunkadakatte,Janapriya Apartment,Herohalli Cross,Anjananagara,East West College Cross,Byadarahalli,College Cross Byadarahalli,Gollarahatti,Kachohalli Gate,Chikka Gollarahatti,Forest Gate,Machohalli Gate,Kadabagere Cross,Mutturayanaswamy Temple,Janapriya Township,Bayyandahalli Colony,Bayyandahalli,Bettahalli Colony,Vaddarahalli Cross,BMTC Training Centre,Kamadhenu Kshetra,Sri Kamadhenu Kshetra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245Q,Kempegowda Bus Station,Okalipura,Minerva Mill,1st Cross Magadi Road,5th Cross Magadi Road,10th Cross Magadi Road,Magadi Road Metro Station,Prasanna Theatre,Magadi Road Tollgate,Agrahara Dasarahalli,KHB Colony,Kamakshipalya,Summanahalli,Kottigepalya,Lakshmi Institution,Sunkadakatte,Janapriya Apartment,Herohalli Cross,Anjananagara,East West College Cross,Byadarahalli,College Cross Byadarahalli,Gollarahatti,Kachohalli Gate,Chikka Gollarahatti,Forest Gate,Machohalli Gate,Kadabagere Cross,Mutturayanaswamy Temple,Janapriya Township,Bayyandahalli Colony,Bayyandahalli,Bettahalli Cross,Bettahalli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G7,Kempegowda Bus Station,Okalipura,Sujatha Talkies,Gopalapura,6th Block Rajajinagara,Prasanna Theatre,Magadi Road Tollgate,Agrahara Dasarahalli,KHB Colony,Kamakshipalya,Summanahalli,Kottigepalya,Lakshmi Institution,Sunkadakatte,Herohalli Cross,Anjananagara,East West College Cross,Byadarahalli,College Cross Byadarahalli,Gollarahatti,Kachohalli Gate,Chikka Gollarahatti,Forest Gate,Machohalli Gate,Kadabagere Cross,Mutturayanaswamy Temple,Janapriya Township,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241B,Kempegowda Bus Station,Okalipura,Minerva Mill,1st Cross Magadi Road,5th Cross Magadi Road,10th Cross Magadi Road,Magadi Road Metro Station,Prasanna Theatre,Magadi Road Tollgate,Agrahara Dasarahalli,KHB Colony,Kamakshipalya,Summanahalli,Kottigepalya,Lakshmi Institution,Sunkadakatte,Herohalli Cross,Anjananagara,East West College Cross,Byadarahalli,College Cross Byadarahalli,Gollarahatti,Yale Kodigehalli Colony,Yale Kodigehalli,Dombarahatti Dongadipura Cross,Kannalli,Hosahalli,Kenchanapura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
