Area,Bus Number,Platform Number,Destination,Via,,Area - Kannada,Destination - Kannada,Via - Kannada
Tumakuru Road,250P,22,Chikkabanavara,Dr Rajkumar Road,,ತುಮಕೂರು ರಸ್ತೆ,ಚಿಕ್ಕಬಾಣಾವರ,ಡಾ ರಾಜ್‌ಕುಮಾರ್ ರಸ್ತೆ
Tumakuru Road,258DN,23,Dabaspete,Nelamangala,,ತುಮಕೂರು ರಸ್ತೆ,ದಾಬಾಸಪೇಟೆ,ನೆಲಮಂಗಲ
Tumakuru Road,253J,22,Hesaraghatta,Chikkabanavara,,ತುಮಕೂರು ರಸ್ತೆ,ಹೆಸರಘಟ್ಟ,ಚಿಕ್ಕಬಾಣಾವರ
Tumakuru Road,255D,23,Huskur Village,Makali,,ತುಮಕೂರು ರಸ್ತೆ,ಹುಸ್ಕೂರು ಗ್ರಾಮ,ಮಾಕಳಿ
Tumakuru Road,265A,22,KBS,Jalahalli Cross Sunkadakatte,,ತುಮಕೂರು ರಸ್ತೆ,ಕೆಂಪೇಗೌಡ ಬಸ್‌ ನಿಲ್ದಾಣ,ಜಾಲಹಳ್ಳಿ ಕ್ರಾಸ್ ಸುಂಕದಕಟ್ಟೆ
Tumakuru Road,252E,22,Laggere,Jalahalli Cross,,ತುಮಕೂರು ರಸ್ತೆ,ಲಗ್ಗೆರೆ,ಜಾಲಹಳ್ಳಿ ಕ್ರಾಸ್
Tumakuru Road,253G,22,Madhure Temple,Hesaraghatta,,ತುಮಕೂರು ರಸ್ತೆ,ಮಧುರೆ ದೇವಸ್ಥಾನ,ಹೆಸರಘಟ್ಟ
Tumakuru Road,258C,23,Nelamangala,Yeshwanthapura,,ತುಮಕೂರು ರಸ್ತೆ,ನೆಲಮಂಗಲ,ಯಶವಂತಪುರ
Tumakuru Road,258CC,23,Nelamangala,Dr Rajkumar Road,,ತುಮಕೂರು ರಸ್ತೆ,ನೆಲಮಂಗಲ,ಡಾ ರಾಜ್‌ಕುಮಾರ್ ರಸ್ತೆ
Tumakuru Road,252,22,Peenya 2nd Stage,Jalahalli Cross,,ತುಮಕೂರು ರಸ್ತೆ,ಪೀಣ್ಯ 2ನೇ ಹಂತ,ಜಾಲಹಳ್ಳಿ ಕ್ರಾಸ್
Tumakuru Road,258M,23,Thyamagondlu,Nelamangala,,ತುಮಕೂರು ರಸ್ತೆ,ತ್ಯಾಮಗೊಂಡ್ಲು,ನೆಲಮಂಗಲ
Vijaynagar ,61A,1,Chandra Layout,Vijayanagar,,ವಿಜಯನಗರ,ಚಂದ್ರ ಲೇಔಟ್‌,ವಿಜಯನಗರ
Vijaynagar ,61J,1,Chandra Layout 1st stage,Chandra Layout,,ವಿಜಯನಗರ,ಚಂದ್ರ ಲೇಔಟ್ 1 ನೇ ಹಂತ,ಚಂದ್ರ ಲೇಔಟ್‌
Vijaynagar ,87,1,Hampinagar,Pipeline,,ವಿಜಯನಗರ,ಹಂಪಿನಗರ,ಪೈಪ್‌ ಲೈನ್‌
Vijaynagar,238V,1,Muddinapalya Junction,Chandra Layout,,ವಿಜಯನಗರ,ಮುದ್ದಿನಪಾಳ್ಯ ಜಂಕ್ಷನ್,ಚಂದ್ರ ಲೇಔಟ್
Vijaynagar ,238VM,1,Ullal Upanagar,Chandra Layout,,ವಿಜಯನಗರ,ಉಲ್ಲಾಳು ಉಪನಗರ,ಚಂದ್ರ ಲೇಔಟ್
Yelahanka ,402C,27,Atturu,Mother Dairy,,ಯಲಹಂಕ,ಅಟ್ಟೂರು,ಮದರ್ ಡೈರಿ
Yelahanka ,402B,27,Yelahanka 5th Phase,Yelahanka New Town,,ಯಲಹಂಕ,ಯಲಹಂಕ 5ನೇ ಹಂತ,ಯಲಹಂಕ ಉಪನಗರ
Yelahanka ,284D,27,Yelahanka New Town,Hebbala,,ಯಲಹಂಕ,ಯಲಹಂಕ ಉಪನಗರ,ಹೆಬ್ಬಾಳ
Yeshwantpura,99B,25,Chowdeshwari Bus Stand,Mathikere,,ಯಶವಂತಪುರ,ಚೌಡೇಶ್ವರಿ ಬಸ್ ನಿಲ್ದಾಣ,ಮತ್ತಿಕೆರೆ
Yeshwantpura,99A,25,Mohan Kumar Nagara,Chowdeshwari Bus Stand,,ಯಶವಂತಪುರ,ಮೋಹನ್ ಕುಮಾರ್ ನಗರ,ಚೌಡೇಶ್ವರಿ ಬಸ್ ನಿಲ್ದಾಣ
Yeshwantpura,82AR,24,Yeshwanthapura New Railway Station,Gayathrinagara,,ಯಶವಂತಪುರ,ಯಶವಂತಪುರ ಹೊಸ ರೈಲು ನಿಲ್ದಾಣ,ಗಾಯತ್ರಿನಗರ
Yeshwantpura,90E,24,Yeshwanthapura Railway Station,MD Block,,ಯಶವಂತಪುರ,ಯಶವಂತಪುರ ರೈಲು ನಿಲ್ದಾಣ,ಎಂ ಡಿ ಬ್ಲಾಕ್‌
